domain,has_rss,rss_url
theconversation.com,True,https://theconversation.com/us/articles.atom
hbr.org,False,
theatlantic.com,True,https://www.theatlantic.com/feed/all/
economist.com,False,
technologyreview.com,True,https://www.technologyreview.com/feed
wired.com,True,https://www.wired.com/feed
fastcompany.com,True,https://www.fastcompany.com/latest/rss
nautil.us,True,https://nautil.us/rss
psypost.org,False,
theguardian.com,True,https://www.theguardian.com/uk/rss
nytimes.com,True,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
washingtonpost.com,False,
wsj.com,False,
bbc.com,False,
reuters.com,False,
businessinsider.com,True,https://feeds.businessinsider.com/custom/all
fortune.com,True,https://fortune.com/feed/fortune-feeds/?id=3230629
cnbc.com,False,
axios.com,False,
techcrunch.com,True,https://techcrunch.com/feed/
futurism.com,True,https://futurism.com/feed
404media.co,True,https://www.404media.co/rss/
vice.com,True,https://www.vice.com/feed/
engadget.com,True,https://www.engadget.com/feed/
digiday.com,True,https://digiday.com/feed/
studyfinds.com,True,https://studyfinds.com/feed/
rd.com,False,
seths.blog,True,https://seths.blog/feed/
profgalloway.com,False,
tim.blog,True,https://tim.blog/feed/
artofmanliness.com,True,https://www.artofmanliness.com/feed/
statsignificant.com,True,https://www.statsignificant.com/feed
news.stanford.edu,False,
news.mit.edu,False,
news.cornell.edu,False,
news.gallup.com,True,https://news.gallup.com/sitemaps/content.rss
media.mit.edu,True,https://www.media.mit.edu/feed.rss
aeon.co,True,https://aeon.co/feed.rss
psyche.co,True,https://psyche.co/feed.rss
quantamagazine.org,True,https://www.quantamagazine.org/feed/
themarginalian.org,True,https://www.themarginalian.org/feed/
bigthink.com,True,https://bigthink.com/feed/all
